"V1" "V2" "V3"
-13.9421674728394 -43.4786770502726 -3.46982016563416
-16.942404683431 -41.7360607910156 -7.28693010965983
-19.1752570537811 -22.8296777441147 -5.61051833375971
-1.76466107368469 -58.3691225660608 -4.83282857245587
-11.8833463292726 -17.3655731039987 -4.97762258959488
-14.0386092006296 -38.2806723774343 -3.41714126476343
-5.82355131329717 -27.5297723976341 -4.3790478577485
-16.2366744657106 -25.4950803442846 -7.15764643874349
-0.969732278475055 -50.4148314087479 -5.2781530574516
-14.8840718830333 -61.3762382058536 -3.78549281639211
-9.95974897455286 -45.0741950612009 -3.60187799253581
-7.41904085960941 -21.7502340786699 -7.12341563597969
-18.8385035676776 -62.771636171161 -5.388165347981
-4.86999331580268 -46.1158556938171 -3.42655466331376
-13.0091567516327 -35.7786485036214 -7.28369379043579
-13.9033391505112 -31.5893918732066 -7.38710449948723
-21.0736335754395 -40.1682222254136 -6.69981569402358
-7.98880413482929 -62.7698785847631 -5.64245022576431
-0.305951722845849 -35.1992617183261 -5.55231475167804
-15.0765192325299 -48.6147692753718 -3.30375189506091
-7.18734261535463 -40.5638877323696 -3.68035854328246
-11.4839661704169 -56.9140669928657 -3.69504457314809
-8.20493120443625 -17.5807968514865 -6.42056390887401
-1.24156196615589 -40.1468071439373 -6.43772716664556
-4.71235358715057 -35.8084478974342 -3.79809403046966
-20.617757046809 -55.7082456369869 -5.52900594961448
-8.32066740709193 -54.3275453904096 -3.71171850597157
-14.8321136448481 -51.0568708132391 -3.17722706925379
-14.5516068322318 -51.9396511622838 -6.77126032965524
-5.82106186622797 -45.9586098249569 -7.18747446148895
-7.62268294458804 -48.4147953088733 -3.46551148787789
-17.3798211415609 -41.6865935770671 -3.11933425585429
-5.42471690236786 -29.0971547350471 -4.30438326611931
-17.8689998512837 -40.4548789067055 -7.32930204761562
-13.0241751314989 -48.4351165543741 -6.89072260927798
-15.2958269257476 -55.1149461165718 -6.41128459184066
-19.2457577236115 -48.6910473051525 -6.92160459548708
-13.2723808288574 -56.7814467078761 -3.46281786968834
-17.3286319308811 -21.2917191944425 -6.47413988718911
-10.1489486694336 -22.0907003283501 -7.34482303261757
-1.14343821424157 -41.7494419724194 -6.38026823926328
-18.9336979964684 -65.2631194016029 -4.4893543884672
-5.65562879586522 -61.1414377719541 -3.75008980533745
-14.6040871143341 -56.5700992135441 -6.06247105317957
-16.7968348548526 -35.1008721760341 -3.18278664918173
-4.6455942067233 -52.0256574226148 -3.47382715254119
-8.1903650136221 -63.6912577946981 -4.74610056763604
-1.06134584509296 -45.8797136000645 -4.45620905911481
-9.74955498377482 -61.5255055745443 -4.07719085216522
-1.90136762294504 -54.4799738989936 -4.23976345525848
-12.4374735222922 -55.4695661862691 -3.49968683057361
-15.1018168032169 -52.326363325119 -3.14555608853698
-5.24256418369434 -28.1198620266385 -7.27828499122902
-19.8524431459831 -62.617205879905 -4.80426979064941
-19.4769150416056 -64.4712843667893 -4.51404150327047
-5.48481576215653 -58.4857828957694 -6.65059862250373
-13.2791009130357 -37.0287953147405 -3.54594335374953
-7.98637816549718 -20.8494018905464 -4.68061993039888
-4.76403339358344 -40.2283534727235 -7.3194131574769
-16.0995292292013 -60.2437929425921 -3.67805163891284
-14.1641342639923 -62.534968316555 -3.93116428330541
-21.4103718893869 -38.1728422982352 -6.43546566963196
-16.9048884148691 -19.0266986734727 -5.82376685796999
-11.1968190639834 -39.5100565560256 -3.64244867880133
-0.901486027557238 -49.3060440130993 -4.83615687041156
-17.7199951050773 -64.4148670378185 -4.88275673275902
-1.62101580725088 -53.1555236717323 -4.45020684948215
-18.7968055077319 -61.397114519803 -3.84535922194427
-14.2808796625871 -16.2528586020836 -6.50125135825231
-8.51674899669609 -41.6372060294103 -3.6869953473409
